Name,name,postcode,latitude,longitude
Albert Park,Albert Park,3206,-37.8445,144.953
Middle Park,Middle Park,3206,-37.8512,144.9621
West St Kilda,St Kilda West,3182,-37.8579,144.9715
Armadale,Armadale,3143,-37.8576,145.0202
Carlton North,Carlton North,3054,-37.7847,144.9632
Carlton,Carlton,3053,-37.8007,144.9661
Parkville,Parkville,3052,-37.7846,144.9491
CBD,Melbourne,3000,-37.813,144.9611
CBD,Melbourne,3001,-37.814,144.9633
CBD,Melbourne,3004,-37.8422,144.9762
St Kilda Rd,St Kilda Road Central,3004,-37.814,144.9633
Collingwood,Collingwood,3066,-37.8022,144.9875
Abbotsford,Abbotsford,3067,-37.8061,145.0015
Docklands,Docklands,3008,-37.8183,144.9445
East Melbourne,East Melbourne,3002,-37.8133,144.9839
East St Kilda,St Kilda East,3183,-37.8632,145.0017
Elwood,Elwood,3184,-37.8802,144.9866
Fitzroy,Fitzroy,3065,-37.8004,144.9745
Fitzroy North,Fitzroy North,3068,-37.7748,144.9826
Clifton Hill,Clifton Hill,3068,-37.7908,144.997
Flemington,Flemington,3031,-37.7864,144.9198
Kensington,Kensington,3031,-37.7937,144.9261
North Melbourne,North Melbourne,3051,-37.7991,144.9489
West Melbourne,West Melbourne,3003,-37.8088,144.9473
Port Melbourne,Port Melbourne,3207,-37.8388,144.9381
Prahran,Prahran,3181,-37.8514,144.9984
Windsor,Windsor,3181,-37.8546,144.9934
Richmond,Richmond,3121,-37.819,145.0012
Burnley,Burnley,3121,-37.8291,145.0103
South Melbourne,South Melbourne,3205,-37.8342,144.9618
South Yarra,South Yarra,3141,-37.836,144.9835
Southbank,Southbank,3006,-37.8291,144.9567
St Kilda,St Kilda,3182,-37.8634,144.9825
Toorak,Toorak,3142,-37.8421,145.0145
Balwyn,Balwyn,3103,-37.8096,145.0827
Blackburn,Blackburn,3130,-37.8207,145.1509
Box Hill,Box Hill,3128,-37.8201,145.1245
Bulleen,Bulleen,3105,-37.7692,145.0921
Templestowe,Templestowe,3106,-37.7602,145.1461
Doncaster,Doncaster,3108,-37.7855,145.1246
Burwood,Burwood,3125,-37.8495,145.1156
Ashburton,Ashburton,3147,-37.867,145.0811
Camberwell,Camberwell,3124,-37.8435,145.0968
Glen Iris,Glen Iris,3146,-37.8561,145.0946
Canterbury,Canterbury,3126,-37.8241,145.0765
Surrey Hills,Surrey Hills,3127,-37.8306,145.1057
Mont Albert,Mont Albert,3127,-37.8131,145.1015
Chadstone,Chadstone,3148,-37.8814,145.1003
Oakleigh,Oakleigh,3166,-37.9016,145.095
Clayton,Clayton,3168,-37.9189,145.1258
Doncaster East,Doncaster East,3109,-37.7824,145.162
Donvale,Donvale,3111,-37.7915,145.1846
East Hawthorn,Hawthorn East,3123,-37.8294,145.0504
Glen Waverley,Glen Waverley,3150,-37.8812,145.1656
Mulgrave,Mulgrave,3170,-37.9276,145.1771
Hawthorn,Hawthorn,3122,-37.8231,145.0326
Kew,Kew,3101,-37.8049,145.0371
Mount Waverley,Mount Waverley,3149,-37.8774,145.129
Nunawading,Nunawading,3131,-37.8183,145.1763
Mitcham,Mitcham,3132,-37.8183,145.1977
Vermont,Vermont,3133,-37.8352,145.2145
Forest Hill,Forest Hill,3131,-37.8387,145.1708
Burwood East,Burwood East,3151,-37.8538,145.15
Aspendale,Aspendale,3195,-38.0219,145.1009
Chelsea,Chelsea,3196,-38.05,145.1203
Carrum,Carrum,3197,-38.0765,145.1277
Bentleigh,Bentleigh,3204,-37.9228,145.0386
Brighton,Brighton,3186,-37.9086,144.9972
Brighton East,Brighton East,3187,-37.9157,145.0162
Carnegie,Carnegie,3163,-37.8923,145.056
Caulfield,Caulfield,3162,-37.8843,145.0263
Cheltenham,Cheltenham,3192,-37.9635,145.0657
Elsternwick,Elsternwick,3185,-37.8858,145.0072
Hampton,Hampton,3188,-37.9377,145.0095
Beaumaris,Beaumaris,3193,-37.9826,145.04
Malvern,Malvern,3144,-37.8575,145.0346
Malvern East,Malvern East,3145,-37.8776,145.0625
Mentone,Mentone,3194,-37.9813,145.0677
Parkdale,Parkdale,3195,-37.9921,145.0805
Mordialloc,Mordialloc,3195,-38.0124,145.0834
Murrumbeena,Murrumbeena,3163,-37.8977,145.0762
Hughesdale,Hughesdale,3166,-37.8982,145.0816
Altona,Altona,3018,-37.8652,144.8186
Footscray,Footscray,3011,-37.7979,144.8953
Keilor East,Keilor East,3033,-37.7423,144.8659
Avondale Heights,Avondale Heights,3034,-37.7611,144.8621
Melton,Melton,3337,-37.6834,144.5833
Newport,Newport,3015,-37.8428,144.878
Spotswood,Spotswood,3015,-37.8287,144.8804
St Albans,St Albans,3021,-37.7435,144.8044
Deer Park,Deer Park,3023,-37.7673,144.7663
Sunshine,Sunshine,3020,-37.7881,144.8349
Sydenham,Sydenham,3037,-37.7001,144.7656
Werribee,Werribee,3030,-37.8967,144.6562
Hoppers Crossing,Hoppers Crossing,3029,-37.8676,144.6928
West Footscray,West Footscray,3012,-37.7992,144.8711
Williamstown,Williamstown,3016,-37.8599,144.8919
Yarraville,Yarraville,3013,-37.8167,144.884
Seddon,Seddon,3011,-37.8062,144.8915
Broadmeadows,Broadmeadows,3047,-37.6838,144.927
Roxburgh Park,Roxburgh Park,3064,-37.6251,144.9259
Brunswick,Brunswick,3056,-37.7669,144.9619
Coburg,Coburg,3058,-37.7452,144.9641
Pascoe Vale South,Pascoe Vale South,3044,-37.7428,144.9392
Craigieburn,Craigieburn,3064,-37.5891,144.9189
East Brunswick,Brunswick East,3057,-37.7703,144.9756
Essendon,Essendon,3040,-37.7498,144.9114
Gladstone Park,Gladstone Park,3043,-37.69,144.892
Tullamarine,Tullamarine,3043,-37.7087,144.8883
Keilor,Keilor,3036,-37.6993,144.8303
Moonee Ponds,Moonee Ponds,3039,-37.7655,144.9203
Ascot Vale,Ascot Vale,3032,-37.7771,144.9159
Oak Park,Oak Park,3046,-37.7175,144.9185
Glenroy,Glenroy,3046,-37.7036,144.9241
Fawkner,Fawkner,3060,-37.7059,144.9685
Pascoe Vale,Pascoe Vale,3044,-37.7244,144.9377
Coburg North,Coburg North,3058,-37.7269,144.9673
Sunbury,Sunbury,3429,-37.5757,144.7194
West Brunswick,Brunswick West,3055,-37.763,144.9431
Bundoora,Bundoora,3083,-37.6997,145.068
Greensborough,Greensborough,3088,-37.6862,145.1096
Hurstbridge,Hurstbridge,3099,-37.6376,145.1938
Eltham,Eltham,3095,-37.7133,145.1549
Research,Research,3095,-37.7043,145.1828
Montmorency,Montmorency,3094,-37.7188,145.1245
Fairfield,Fairfield,3078,-37.7747,145.0199
Alphington,Alphington,3078,-37.783500000000004,145.0288
Heidelberg,Heidelberg,3084,-37.7529,145.0676
Heidelberg West,Heidelberg West,3081,-37.7388,145.044
Ivanhoe,Ivanhoe,3079,-37.7657,145.0423
Ivanhoe East,Ivanhoe East,3079,-37.7732,145.0585
Mill Park,Mill Park,3082,-37.6633,145.0615
Epping,Epping,3076,-37.6407,145.0282
Northcote,Northcote,3070,-37.784,145.0091
Preston,Preston,3072,-37.7414,145.0058
Reservoir,Reservoir,3073,-37.7137,145.0096
Thomastown,Thomastown,3074,-37.6821,145.0126
Lalor,Lalor,3075,-37.6673,145.0145
Thornbury,Thornbury,3071,-37.758,145.0042
Whittlesea,Whittlesea,3757,-37.506,145.1191
Bayswater,Bayswater,3153,-37.846,145.265
Boronia,Boronia,3155,-37.8579,145.2834
Croydon,Croydon,3136,-37.794,145.2841
Lilydale,Lilydale,3140,-37.7578,145.3549
Ferntree Gully,Ferntree Gully,3156,-37.8832,145.2797
Ringwood,Ringwood,3134,-37.8249,145.2134
Rowville,Rowville,3178,-37.9211,145.2492
Wantirna,Wantirna,3152,-37.8533,145.2292
Scoresby,Scoresby,3179,-37.8943,145.2279
Yarra Ranges,Yarra Junction,3797,-37.7858,145.6183
Berwick,Berwick,3806,-38.0414,145.3419
Cranbourne,Cranbourne,3977,-38.1024,145.2778
Dandenong,Dandenong,3175,-37.9852,145.2112
Dandenong North,Dandenong North,3175,-37.9566,145.2111
Endeavour Hills,Endeavour Hills,3802,-37.9768,145.2608
Narre Warren,Narre Warren,3805,-38.0172,145.3068
Hampton Park,Hampton Park,3976,-38.0362,145.2657
Noble Park,Noble Park,3174,-37.9683,145.1762
Pakenham,Pakenham,3810,-38.071,145.4759
Springvale,Springvale,3171,-37.9476,145.1519
Dromana,Dromana,3936,-38.3378,144.9721
Portsea,Portsea,3944,-38.3259,144.7171
Frankston,Frankston,3199,-38.1479,145.141
Hastings,Hastings,3915,-38.3049,145.183
Flinders,Flinders,3929,-38.4675,145.0095
Mt Eliza,Mount Eliza,3930,-38.1909,145.0931
Mornington,Mornington,3931,-38.2298,145.0477
Mt Martha,Mount Martha,3934,-38.2673,145.0259
Seaford,Seaford,3198,-38.1098,145.1367
Carrum Downs,Carrum Downs,3201,-38.0698,145.1753
Belmont,Belmont,3216,-38.179,144.3384
Grovedale,Grovedale,3216,-38.203,144.3333
Corio,Corio,3214,-38.0716,144.3588
Geelong,Geelong,3220,-38.1499,144.3619
Newcombe,Newcomb,3219,-38.1656,144.3928
Herne Hill,Herne Hill,3218,-38.1342,144.3235
Geelong West,Geelong West,3218,-38.1397,144.3449
Lara,Lara,3212,-38.0242,144.3992
Newtown,Newtown,3220,-38.1534,144.338
Newtown,Newtown,3351,-37.6928,143.6567
North Geelong,North Geelong,3215,-38.1183,144.3462
Ballarat,Ballarat,3350,-37.5662,143.8496
Ballarat,Ballarat,3353,-37.5662,143.8496
Mount Clear,Mount Clear,3350,-37.6014,143.8687
Buninyong,Buninyong,3357,-37.6405,143.9246
Sebastopol,Sebastopol,3356,-37.5958,143.8365
Delacombe,Delacombe,3356,-37.5832,143.8175
Wendouree,Wendouree,3355,-37.5307,143.8307
Alfredton,Alfredton,3350,-37.5541,143.8015
Bendigo,Bendigo,3550,-36.7581,144.2786
Bendigo,Bendigo,3552,-36.7582,144.2802
Flora Hill,Flora Hill,3550,-36.7782,144.2932
Bendigo East,East Bendigo,3550,-36.7496,144.3069
Golden Square,Golden Square,3555,-36.7731,144.2512
Kangaroo Flat,Kangaroo Flat,3555,-36.8006,144.238
North Bendigo,North Bendigo,3550,-36.7405,144.2812
Bairnsdale,Bairnsdale,3875,-37.8279,147.6099
Benalla,Benalla,3671,-36.5511,145.9843
Benalla,Benalla,3672,-36.554,145.9799
Benalla,Benalla,3673,-36.5511,145.9843
Castlemaine,Castlemaine,3450,-37.0647,144.2176
Echuca,Echuca,3564,-36.1371,144.747
Hamilton,Hamilton,3300,-37.7383,142.0252
Horsham,Horsham,3400,-36.7155,142.1976
Horsham,Horsham,3402,-36.7113,142.1998
Mildura,Mildura,3500,-34.1958,142.1464
Mildura,Mildura,3502,-34.1855,142.1625
Moe,Moe,3825,-38.1806,146.2568
Newborough,Newborough,3825,-38.1813,146.2897
Morwell,Morwell,3840,-38.2307,146.4145
Ocean Grove,Ocean Grove,3226,-38.2598,144.533
Barwon Heads,Barwon Heads,3227,-38.2745,144.4902
Portland,Portland,3305,-38.3509,141.6023
Sale,Sale,3850,-38.1029,147.0745
Sale,Sale,3853,-38.111,147.068
Maffra,Maffra,3860,-37.9606,146.9834
Seymour,Seymour,3660,-37.0267,145.1461
Seymour,Seymour,3661,-37.0266,145.1392
Shepparton,Shepparton,3630,-36.3791,145.4043
Shepparton,Shepparton,3632,-36.3805,145.3987
Swan Hill,Swan Hill,3585,-35.3416,143.5503
Torquay,Torquay,3228,-38.3204,144.3257
Traralgon,Traralgon,3844,-38.1947,146.532
Wanagaratta,Wangaratta South,3678,-36.3858,146.2544
Warragul,Warragul,3820,-38.1571,145.9335
Warrnambool,Warrnambool,3280,-38.3551,142.5322
Wodonga,Wodonga,3689,-36.1218,146.8881
Wodonga,Wodonga,3690,-36.132,146.885
